experiment_version,calibration_stage,setting_key,category,tokenizer_key,k1,b,status,error,case_count,hit_case_count,recall_at_30,mrr_at_5,ndcg_at_5,successful_repetitions,ranking_stable,build_ms,warm_total_p50_ms,warm_total_p95_ms,observed_peak_rss_mb,delta_recall_at_30,delta_mrr_at_5,delta_ndcg_at_5,category_guardrail_pass,all_category_guardrails_pass,selected,selection_reason
phase8-08b-v1,parameter,b_high,comparative,unicode_word,1.5,1.0,completed,,6,6,1.0,0.6666666666666666,0.5992812812022597,3,True,71.53990200004046,1.3195219999033725,1.8899269000485217,3.294276237487793,0.0,0.02777777777777768,-0.010416108340968844,True,,false,
phase8-08b-v1,parameter,b_high,direct_fact,unicode_word,1.5,1.0,completed,,7,7,1.0,0.7261904761904762,0.773135888168515,3,True,71.53990200004046,1.3195219999033725,1.8899269000485217,3.294276237487793,0.0,0.0,0.0,True,,false,
phase8-08b-v1,parameter,b_high,food_knowledge,unicode_word,1.5,1.0,completed,,7,7,1.0,0.6476190476190476,0.6428571428571429,3,True,71.53990200004046,1.3195219999033725,1.8899269000485217,3.294276237487793,0.0,0.0,0.0,True,,false,
phase8-08b-v1,parameter,b_high,guide_planning,unicode_word,1.5,1.0,completed,,2,1,0.5,0.25,0.31546487678572877,3,True,71.53990200004046,1.3195219999033725,1.8899269000485217,3.294276237487793,0.0,0.0,0.0,True,,false,
phase8-08b-v1,parameter,b_high,holistic,unicode_word,1.5,1.0,completed,,3,3,1.0,0.1111111111111111,0.18125710305067513,3,True,71.53990200004046,1.3195219999033725,1.8899269000485217,3.294276237487793,0.0,-0.08333333333333331,-0.15251565595889596,True,,false,
phase8-08b-v1,parameter,b_high,numerical,unicode_word,1.5,1.0,completed,,2,2,1.0,1.0,1.0,3,True,71.53990200004046,1.3195219999033725,1.8899269000485217,3.294276237487793,0.0,0.0,0.0,True,,false,
phase8-08b-v1,parameter,b_high,overall,unicode_word,1.5,1.0,completed,,45,44,0.951851851851852,0.6551851851851852,0.6442220666254881,3,True,71.53990200004046,1.3195219999033725,1.8899269000485217,3.294276237487793,0.0,-0.00851851851851848,-0.0035714596386143826,True,True,false,
phase8-08b-v1,parameter,b_high,relationship,unicode_word,1.5,1.0,completed,,14,14,0.9642857142857143,0.7523809523809524,0.7356594741557091,3,True,71.53990200004046,1.3195219999033725,1.8899269000485217,3.294276237487793,0.0,0.014285714285714235,0.038840807796573174,True,,false,
phase8-08b-v1,parameter,b_high,spanning,unicode_word,1.5,1.0,completed,,3,3,0.7777777777777778,0.5,0.37706835917078063,3,True,71.53990200004046,1.3195219999033725,1.8899269000485217,3.294276237487793,0.0,-0.16666666666666663,-0.0614811249890575,True,,false,
phase8-08b-v1,parameter,b_high,temporal,unicode_word,1.5,1.0,completed,,1,1,1.0,1.0,0.8772153153380493,3,True,71.53990200004046,1.3195219999033725,1.8899269000485217,3.294276237487793,0.0,0.0,0.0,True,,false,
phase8-08b-v1,parameter,b_low,comparative,unicode_word,1.5,0.5,completed,,6,6,1.0,0.7222222222222222,0.6078801683368319,3,True,68.88279999975566,1.5028540001367219,2.2720914997989894,3.294283866882324,0.0,0.08333333333333326,-0.001817221206396602,True,,false,
phase8-08b-v1,parameter,b_low,direct_fact,unicode_word,1.5,0.5,completed,,7,7,1.0,0.6547619047619048,0.7204115672501519,3,True,68.88279999975566,1.5028540001367219,2.2720914997989894,3.294283866882324,0.0,-0.0714285714285714,-0.0527243209183631,False,,false,
phase8-08b-v1,parameter,b_low,food_knowledge,unicode_word,1.5,0.5,completed,,7,7,1.0,0.6785714285714286,0.6678219292014728,3,True,68.88279999975566,1.5028540001367219,2.2720914997989894,3.294283866882324,0.0,0.030952380952380953,0.02496478634432986,True,,false,
phase8-08b-v1,parameter,b_low,guide_planning,unicode_word,1.5,0.5,completed,,2,1,0.5,0.5,0.5,3,True,68.88279999975566,1.5028540001367219,2.2720914997989894,3.294283866882324,0.0,0.25,0.18453512321427123,True,,false,
phase8-08b-v1,parameter,b_low,holistic,unicode_word,1.5,0.5,completed,,3,3,1.0,0.24444444444444446,0.44811577780813444,3,True,68.88279999975566,1.5028540001367219,2.2720914997989894,3.294283866882324,0.0,0.050000000000000044,0.11434301879856335,True,,false,
phase8-08b-v1,parameter,b_low,numerical,unicode_word,1.5,0.5,completed,,2,2,1.0,1.0,1.0,3,True,68.88279999975566,1.5028540001367219,2.2720914997989894,3.294283866882324,0.0,0.0,0.0,True,,false,
phase8-08b-v1,parameter,b_low,overall,unicode_word,1.5,0.5,completed,,45,44,0.937037037037037,0.6755555555555556,0.6580598485725545,3,True,68.88279999975566,1.5028540001367219,2.2720914997989894,3.294283866882324,-0.014814814814814947,0.011851851851851891,0.010266322308452036,False,False,false,
phase8-08b-v1,parameter,b_low,relationship,unicode_word,1.5,0.5,completed,,14,14,0.9642857142857143,0.75,0.7025528957056938,3,True,68.88279999975566,1.5028540001367219,2.2720914997989894,3.294283866882324,0.0,0.011904761904761862,0.005734229346557873,True,,false,
phase8-08b-v1,parameter,b_low,spanning,unicode_word,1.5,0.5,completed,,3,3,0.5555555555555555,0.5,0.3968248373134753,3,True,68.88279999975566,1.5028540001367219,2.2720914997989894,3.294283866882324,-0.22222222222222232,-0.16666666666666663,-0.041724646846362845,True,,false,
phase8-08b-v1,parameter,b_low,temporal,unicode_word,1.5,0.5,completed,,1,1,1.0,1.0,0.8772153153380493,3,True,68.88279999975566,1.5028540001367219,2.2720914997989894,3.294283866882324,0.0,0.0,0.0,True,,false,
phase8-08b-v1,parameter,baseline,comparative,unicode_word,1.5,0.75,completed,,6,6,1.0,0.638888888888889,0.6096973895432285,3,True,76.18226799968397,1.4855280001029314,2.093277199946897,3.296938896179199,0.0,0.0,0.0,True,,true,Baseline optimal among valid candidates
phase8-08b-v1,parameter,baseline,direct_fact,unicode_word,1.5,0.75,completed,,7,7,1.0,0.7261904761904762,0.773135888168515,3,True,76.18226799968397,1.4855280001029314,2.093277199946897,3.296938896179199,0.0,0.0,0.0,True,,true,Baseline optimal among valid candidates
phase8-08b-v1,parameter,baseline,food_knowledge,unicode_word,1.5,0.75,completed,,7,7,1.0,0.6476190476190476,0.6428571428571429,3,True,76.18226799968397,1.4855280001029314,2.093277199946897,3.296938896179199,0.0,0.0,0.0,True,,true,Baseline optimal among valid candidates
phase8-08b-v1,parameter,baseline,guide_planning,unicode_word,1.5,0.75,completed,,2,1,0.5,0.25,0.31546487678572877,3,True,76.18226799968397,1.4855280001029314,2.093277199946897,3.296938896179199,0.0,0.0,0.0,True,,true,Baseline optimal among valid candidates
phase8-08b-v1,parameter,baseline,holistic,unicode_word,1.5,0.75,completed,,3,3,1.0,0.19444444444444442,0.3337727590095711,3,True,76.18226799968397,1.4855280001029314,2.093277199946897,3.296938896179199,0.0,0.0,0.0,True,,true,Baseline optimal among valid candidates
phase8-08b-v1,parameter,baseline,numerical,unicode_word,1.5,0.75,completed,,2,2,1.0,1.0,1.0,3,True,76.18226799968397,1.4855280001029314,2.093277199946897,3.296938896179199,0.0,0.0,0.0,True,,true,Baseline optimal among valid candidates
phase8-08b-v1,parameter,baseline,overall,unicode_word,1.5,0.75,completed,,45,44,0.951851851851852,0.6637037037037037,0.6477935262641025,3,True,76.18226799968397,1.4855280001029314,2.093277199946897,3.296938896179199,0.0,0.0,0.0,True,True,true,Baseline optimal among valid candidates
phase8-08b-v1,parameter,baseline,relationship,unicode_word,1.5,0.75,completed,,14,14,0.9642857142857143,0.7380952380952381,0.6968186663591359,3,True,76.18226799968397,1.4855280001029314,2.093277199946897,3.296938896179199,0.0,0.0,0.0,True,,true,Baseline optimal among valid candidates
phase8-08b-v1,parameter,baseline,spanning,unicode_word,1.5,0.75,completed,,3,3,0.7777777777777778,0.6666666666666666,0.43854948415983813,3,True,76.18226799968397,1.4855280001029314,2.093277199946897,3.296938896179199,0.0,0.0,0.0,True,,true,Baseline optimal among valid candidates
phase8-08b-v1,parameter,baseline,temporal,unicode_word,1.5,0.75,completed,,1,1,1.0,1.0,0.8772153153380493,3,True,76.18226799968397,1.4855280001029314,2.093277199946897,3.296938896179199,0.0,0.0,0.0,True,,true,Baseline optimal among valid candidates
phase8-08b-v1,parameter,k1_high,comparative,unicode_word,1.8,0.75,completed,,6,6,1.0,0.638888888888889,0.5746428390488949,3,True,69.12676000001738,1.8000430000029155,2.888639000002513,3.2942914962768555,0.0,0.0,-0.03505455049433359,False,,false,
phase8-08b-v1,parameter,k1_high,direct_fact,unicode_word,1.8,0.75,completed,,7,7,1.0,0.7261904761904762,0.773135888168515,3,True,69.12676000001738,1.8000430000029155,2.888639000002513,3.2942914962768555,0.0,0.0,0.0,True,,false,
phase8-08b-v1,parameter,k1_high,food_knowledge,unicode_word,1.8,0.75,completed,,7,7,1.0,0.6476190476190476,0.6428571428571429,3,True,69.12676000001738,1.8000430000029155,2.888639000002513,3.2942914962768555,0.0,0.0,0.0,True,,false,
phase8-08b-v1,parameter,k1_high,guide_planning,unicode_word,1.8,0.75,completed,,2,1,0.5,0.25,0.31546487678572877,3,True,69.12676000001738,1.8000430000029155,2.888639000002513,3.2942914962768555,0.0,0.0,0.0,True,,false,
phase8-08b-v1,parameter,k1_high,holistic,unicode_word,1.8,0.75,completed,,3,3,1.0,0.19444444444444442,0.3337727590095711,3,True,69.12676000001738,1.8000430000029155,2.888639000002513,3.2942914962768555,0.0,0.0,0.0,True,,false,
phase8-08b-v1,parameter,k1_high,numerical,unicode_word,1.8,0.75,completed,,2,2,1.0,1.0,1.0,3,True,69.12676000001738,1.8000430000029155,2.888639000002513,3.2942914962768555,0.0,0.0,0.0,True,,false,
phase8-08b-v1,parameter,k1_high,overall,unicode_word,1.8,0.75,completed,,45,44,0.951851851851852,0.6637037037037037,0.6483906464819534,3,True,69.12676000001738,1.8000430000029155,2.888639000002513,3.2942914962768555,0.0,0.0,0.000597120217850966,False,False,false,
phase8-08b-v1,parameter,k1_high,relationship,unicode_word,1.8,0.75,completed,,14,14,0.9642857142857143,0.7380952380952381,0.7137613601283713,3,True,69.12676000001738,1.8000430000029155,2.888639000002513,3.2942914962768555,0.0,0.0,0.016942693769235406,True,,false,
phase8-08b-v1,parameter,k1_high,spanning,unicode_word,1.8,0.75,completed,,3,3,0.7777777777777778,0.6666666666666666,0.43854948415983813,3,True,69.12676000001738,1.8000430000029155,2.888639000002513,3.2942914962768555,0.0,0.0,0.0,True,,false,
phase8-08b-v1,parameter,k1_high,temporal,unicode_word,1.8,0.75,completed,,1,1,1.0,1.0,0.8772153153380493,3,True,69.12676000001738,1.8000430000029155,2.888639000002513,3.2942914962768555,0.0,0.0,0.0,True,,false,
phase8-08b-v1,parameter,k1_low,comparative,unicode_word,1.2,0.75,completed,,6,6,1.0,0.6666666666666666,0.5835443058903146,3,True,73.3243049999146,1.5861990000303194,2.5681085997803166,3.2942991256713867,0.0,0.02777777777777768,-0.02615308365291391,False,,false,
phase8-08b-v1,parameter,k1_low,direct_fact,unicode_word,1.2,0.75,completed,,7,7,1.0,0.7261904761904762,0.7769745181404143,3,True,73.3243049999146,1.5861990000303194,2.5681085997803166,3.2942991256713867,0.0,0.0,0.003838629971899321,True,,false,
phase8-08b-v1,parameter,k1_low,food_knowledge,unicode_word,1.2,0.75,completed,,7,7,1.0,0.6476190476190476,0.6428571428571429,3,True,73.3243049999146,1.5861990000303194,2.5681085997803166,3.2942991256713867,0.0,0.0,0.0,True,,false,
phase8-08b-v1,parameter,k1_low,guide_planning,unicode_word,1.2,0.75,completed,,2,1,0.5,0.25,0.31546487678572877,3,True,73.3243049999146,1.5861990000303194,2.5681085997803166,3.2942991256713867,0.0,0.0,0.0,True,,false,
phase8-08b-v1,parameter,k1_low,holistic,unicode_word,1.2,0.75,completed,,3,3,1.0,0.24444444444444446,0.44811577780813444,3,True,73.3243049999146,1.5861990000303194,2.5681085997803166,3.2942991256713867,0.0,0.050000000000000044,0.11434301879856335,True,,false,
phase8-08b-v1,parameter,k1_low,numerical,unicode_word,1.2,0.75,completed,,2,2,1.0,1.0,1.0,3,True,73.3243049999146,1.5861990000303194,2.5681085997803166,3.2942991256713867,0.0,0.0,0.0,True,,false,
phase8-08b-v1,parameter,k1_low,overall,unicode_word,1.2,0.75,completed,,45,44,0.951851851851852,0.6788888888888889,0.659581479328605,3,True,73.3243049999146,1.5861990000303194,2.5681085997803166,3.2942991256713867,0.0,0.01518518518518519,0.011787953064502532,False,False,false,
phase8-08b-v1,parameter,k1_low,relationship,unicode_word,1.2,0.75,completed,,14,14,0.9642857142857143,0.7642857142857142,0.7194955894749293,3,True,73.3243049999146,1.5861990000303194,2.5681085997803166,3.2942991256713867,0.0,0.026190476190476097,0.02267692311579339,True,,false,
phase8-08b-v1,parameter,k1_low,spanning,unicode_word,1.2,0.75,completed,,3,3,0.7777777777777778,0.6666666666666666,0.43854948415983813,3,True,73.3243049999146,1.5861990000303194,2.5681085997803166,3.2942991256713867,0.0,0.0,0.0,True,,false,
phase8-08b-v1,parameter,k1_low,temporal,unicode_word,1.2,0.75,completed,,1,1,1.0,1.0,0.8772153153380493,3,True,73.3243049999146,1.5861990000303194,2.5681085997803166,3.2942991256713867,0.0,0.0,0.0,True,,false,
phase8-08b-v1,tokenizer,underthesea_word,comparative,underthesea_word,1.5,0.75,completed,,6,6,1.0,0.5750000000000001,0.5336592744018994,3,True,4081.145002000085,1.8542570001045533,3.3656082001925824,2.8719844818115234,0.0,-0.06388888888888888,-0.07603811514132908,False,,false,
phase8-08b-v1,tokenizer,underthesea_word,direct_fact,underthesea_word,1.5,0.75,completed,,7,6,0.8571428571428571,0.5642857142857143,0.6006260246489251,3,True,4081.145002000085,1.8542570001045533,3.3656082001925824,2.8719844818115234,-0.1428571428571429,-0.16190476190476188,-0.17250986351958986,False,,false,
phase8-08b-v1,tokenizer,underthesea_word,food_knowledge,underthesea_word,1.5,0.75,completed,,7,7,1.0,0.38095238095238093,0.43111179440085706,3,True,4081.145002000085,1.8542570001045533,3.3656082001925824,2.8719844818115234,0.0,-0.2666666666666667,-0.21174534845628584,False,,false,
phase8-08b-v1,tokenizer,underthesea_word,guide_planning,underthesea_word,1.5,0.75,completed,,2,2,1.0,0.25,0.31546487678572877,3,True,4081.145002000085,1.8542570001045533,3.3656082001925824,2.8719844818115234,0.5,0.0,0.0,True,,false,
phase8-08b-v1,tokenizer,underthesea_word,holistic,underthesea_word,1.5,0.75,completed,,3,3,1.0,0.16666666666666666,0.28711770538226206,3,True,4081.145002000085,1.8542570001045533,3.3656082001925824,2.8719844818115234,0.0,-0.027777777777777762,-0.04665505362730904,True,,false,
phase8-08b-v1,tokenizer,underthesea_word,numerical,underthesea_word,1.5,0.75,completed,,2,2,1.0,1.0,1.0,3,True,4081.145002000085,1.8542570001045533,3.3656082001925824,2.8719844818115234,0.0,0.0,0.0,True,,false,
