setting_key,setting_label,category,model_id,model_revision,dimension,max_length,collection_name,retrieval_mode,use_bm25,use_reranker,status,error,case_count,hit_case_count,recall_at_5,mrr_at_5,ndcg_at_5,successful_repetitions,ranking_stable,truncated_document_count,cold_load_ms,document_embedding_ms,query_embedding_p50_ms,query_embedding_p95_ms,retrieval_p50_ms,retrieval_p95_ms,warm_total_p50_ms,warm_total_p95_ms,rss_before_load_mb,rss_after_load_mb,observed_peak_rss_mb,device,dtype,document_batch_size,query_batch_size,delta_recall_at_5,delta_mrr_at_5,delta_ndcg_at_5,recall_ci_lower,recall_ci_upper,mrr_ci_lower,mrr_ci_upper,ndcg_ci_lower,ndcg_ci_upper,category_guardrail_pass,all_category_guardrails_pass,clear_gain_vs_control,best_lighter_setting,clear_gain_vs_best_lighter,finalist_eligible
multilingual-minilm-l12-384,Multilingual MiniLM-L12 384D,direct_fact,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,e8f8c211226b894fcb81acc59f3b34ba3efd5f42,384,128,hue_foods_08a_minilm_l12_384,dense,False,False,completed,,7,5,0.6428571428571429,0.40476190476190477,0.44109250023967184,3,,,,,,,,,,,,,,cpu,float32,8,1,-0.2142857142857142,-0.38095238095238093,-0.3518575772917061,,,,,,,False,,,,,
multilingual-minilm-l12-384,Multilingual MiniLM-L12 384D,food_knowledge,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,e8f8c211226b894fcb81acc59f3b34ba3efd5f42,384,128,hue_foods_08a_minilm_l12_384,dense,False,False,completed,,7,6,0.7857142857142857,0.5,0.534868135190988,3,,,,,,,,,,,,,,cpu,float32,8,1,-0.0714285714285714,-0.2142857142857143,-0.21968196243452487,,,,,,,False,,,,,
multilingual-minilm-l12-384,Multilingual MiniLM-L12 384D,guide_planning,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,e8f8c211226b894fcb81acc59f3b34ba3efd5f42,384,128,hue_foods_08a_minilm_l12_384,dense,False,False,completed,,2,0,0.0,0.0,0.0,3,,,,,,,,,,,,,,cpu,float32,8,1,-0.5,-0.5,-0.5,,,,,,,False,,,,,
multilingual-minilm-l12-384,Multilingual MiniLM-L12 384D,holistic,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,e8f8c211226b894fcb81acc59f3b34ba3efd5f42,384,128,hue_foods_08a_minilm_l12_384,dense,False,False,completed,,3,2,0.5,0.27777777777777773,0.31250111665139557,3,,,,,,,,,,,,,,cpu,float32,8,1,-0.5,-0.27777777777777773,-0.327405813064667,,,,,,,False,,,,,
multilingual-minilm-l12-384,Multilingual MiniLM-L12 384D,numerical,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,e8f8c211226b894fcb81acc59f3b34ba3efd5f42,384,128,hue_foods_08a_minilm_l12_384,dense,False,False,completed,,2,2,1.0,1.0,1.0,3,,,,,,,,,,,,,,cpu,float32,8,1,0.0,0.0,0.0,,,,,,,True,,,,,
multilingual-minilm-l12-384,Multilingual MiniLM-L12 384D,relationship,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,e8f8c211226b894fcb81acc59f3b34ba3efd5f42,384,128,hue_foods_08a_minilm_l12_384,dense,False,False,completed,,14,12,0.6071428571428571,0.5702380952380952,0.5118806718692055,3,,,,,,,,,,,,,,cpu,float32,8,1,-0.3928571428571429,-0.3226190476190477,-0.38752387052670867,,,,,,,False,,,,,
multilingual-minilm-l12-384,Multilingual MiniLM-L12 384D,spanning,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,e8f8c211226b894fcb81acc59f3b34ba3efd5f42,384,128,hue_foods_08a_minilm_l12_384,dense,False,False,completed,,3,2,0.2222222222222222,0.5,0.28176105656451883,3,,,,,,,,,,,,,,cpu,float32,8,1,-0.055555555555555525,-0.2333333333333334,-0.11593622857911778,,,,,,,False,,,,,
multilingual-minilm-l12-384,Multilingual MiniLM-L12 384D,temporal,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,e8f8c211226b894fcb81acc59f3b34ba3efd5f42,384,128,hue_foods_08a_minilm_l12_384,dense,False,False,completed,,1,1,1.0,1.0,0.8772153153380493,3,,,,,,,,,,,,,,cpu,float32,8,1,0.5,0.0,0.26406812257259094,,,,,,,True,,,,,
huydang-dek21-embedding-768,Huydang DEk21 768D,overall,CODE4LIFEOFFICIAL/huydang-dek21-embedding,517f1af7dd04a57194f1de2990f0c6ede0a3109b,768,256,hue_foods_08a_huydang_dek21_768,dense,False,False,completed,,45,40,0.837037037037037,0.7211111111111111,0.7163617882034018,3,True,1,3261.488544,44381.538241,64.21414,101.67072449999998,7.0783850000000115,9.785589900000002,71.239148,114.62041310000001,1648.671875,1663.29296875,2094.9375,cpu,float32,8,1,0.01851851851851852,-0.05370370370370372,-0.026175829120113278,-0.07777777777777778,0.12222222222222222,-0.17333333333333334,0.06777777777777777,-0.12696642770181618,0.07487370295131056,,False,False,e5-small-384,False,True
huydang-dek21-embedding-768,Huydang DEk21 768D,comparative,CODE4LIFEOFFICIAL/huydang-dek21-embedding,517f1af7dd04a57194f1de2990f0c6ede0a3109b,768,256,hue_foods_08a_huydang_dek21_768,dense,False,False,completed,,6,4,0.4166666666666667,0.5333333333333333,0.39720214790806674,3,,,,,,,,,,,,,,cpu,float32,8,1,-0.16666666666666669,-0.1333333333333333,-0.1468092058540318,,,,,,,False,,,,,
